"Financial District",40.707499,-74.011153,10005
"Battery Park City",40.712687,-74.015665,10280
"Civic Center",40.712778,-74.005833,10007
"Tribeca",40.718266,-74.007819,10013
"Chinatown",40.714722,-73.997222,10013
"Little Italy",40.719141,-73.997327,10013
"SoHo",40.723056,-74.000833,10012
"NoHo",40.728630,-73.992530,10003
"Lower East Side",40.712222,-73.989722,10002
"East Village",40.727500,-73.985833,10003
"West Village",40.735780,-74.003570,10014
"Greenwich Village",40.733889,-74.001111,10014
"Chelsea",40.745278,-74.002222,10011
"Flatiron",40.740800,-73.989600,10010
"Gramercy",40.737778,-73.986111,10003
"Stuyvesant Town",40.731667,-73.977778,10009
"Midtown",40.747000,-73.986000,10001
"Murray Hill",40.748333,-73.978333,10016
"Tudor City",40.749444,-73.969861,10017
"Turtle Bay",40.752778,-73.969167,10017
"Sutton Place",40.769442,-73.951846,10021
"Hudson Yards",40.754661,-74.003783,10001
"Clinton",40.762500,-73.993333,10036
"Lincoln Square",40.775152,-73.986234,10023
"Lenox Hill",40.769000,-73.962000,10021
"Upper East Side",40.769167,-73.965556,10065
"Yorkville",40.776223,-73.949208,10028
"Carnegie Hill",40.784722,-73.956111,10128
"Central Park",40.782552,-73.965487,10024
"Upper West Side",40.786944,-73.975278,10024
"Manhattan Valley",40.799353,-73.962919,10025
"East Harlem",40.797956,-73.940047,10029
"Central Harlem",40.809033,-73.948372,10027
"Morningside Heights",40.810201,-73.956601,10027
"Manhattanville",40.816111,-73.956111,10027
"Hamilton Heights",40.825000,-73.949000,10031
"Washington Heights",40.841667,-73.937500,10032
"Inwood",40.867444,-73.921509,10034
